iter	Passed	Remaining
796	1193	304
797	1194	302
798	1196	301
799	1198	299
800	1199	298
801	1200	296
802	1201	294
803	1202	293
804	1203	291
805	1205	290
806	1206	288
807	1208	287
808	1209	285
809	1210	283
810	1211	282
811	1212	280
812	1213	279
813	1214	277
814	1215	275
815	1216	274
816	1217	272
817	1218	271
818	1219	269
819	1221	268
820	1223	266
821	1224	265
822	1225	263
823	1226	261
824	1227	260
825	1228	258
826	1229	257
827	1230	255
828	1231	253
829	1232	252
830	1234	250
831	1235	249
832	1237	248
833	1238	246
834	1239	244
835	1240	243
836	1241	241
837	1242	240
838	1243	238
839	1244	237
840	1245	235
841	1246	233
842	1247	232
843	1249	230
844	1250	229
845	1251	227
846	1252	226
847	1253	224
848	1254	223
849	1255	221
850	1256	220
851	1257	218
852	1258	216
853	1259	215
854	1260	213
855	1262	212
856	1263	210
857	1264	209
858	1265	207
859	1267	206
860	1268	204
861	1269	203
862	1270	201
863	1271	200
864	1272	198
865	1273	197
866	1274	195
867	1275	194
868	1277	192
869	1278	191
870	1279	189
871	1280	187
872	1282	186
873	1283	185
874	1284	183
875	1285	181
876	1286	180
877	1287	178
878	1288	177
879	1289	175
880	1290	174
881	1291	172
882	1292	171
883	1294	169
884	1296	168
885	1297	166
886	1298	165
887	1300	164
888	1301	162
889	1303	161
890	1304	159
891	1305	158
892	1306	156
893	1307	155
894	1308	153
895	1309	152
896	1311	150
897	1313	149
898	1314	147
899	1315	146
900	1316	144
901	1317	143
902	1319	141
903	1320	140
904	1321	138
905	1322	137
906	1323	135
907	1324	134
908	1325	132
909	1327	131
910	1328	129
911	1329	128
912	1330	126
913	1331	125
914	1332	123
915	1333	122
916	1334	120
917	1335	119
918	1336	117
919	1337	116
920	1338	114
921	1339	113
922	1341	111
923	1343	110
924	1344	108
925	1345	107
926	1346	106
927	1347	104
928	1348	103
929	1349	101
930	1350	100
931	1351	98
932	1352	97
933	1353	95
934	1354	94
935	1356	92
936	1357	91
937	1358	89
938	1359	88
939	1360	86
940	1361	85
941	1362	83
942	1363	82
943	1365	81
944	1366	79
945	1368	78
946	1369	76
947	1370	75
948	1371	73
949	1373	72
950	1374	70
951	1375	69
952	1376	67
953	1377	66
954	1378	64
955	1379	63
956	1380	62
957	1381	60
958	1382	59
959	1383	57
960	1385	56
961	1386	54
962	1388	53
963	1389	51
964	1391	50
965	1392	49
966	1393	47
967	1394	46
968	1395	44
969	1396	43
970	1397	41
971	1398	40
972	1399	38
973	1400	37
974	1402	35
975	1403	34
976	1405	33
977	1407	31
978	1408	30
979	1409	28
980	1410	27
981	1411	25
982	1412	24
983	1414	22
984	1415	21
985	1418	20
986	1420	18
987	1422	17
988	1423	15
989	1425	14
990	1427	12
991	1428	11
992	1430	10
993	1431	8
994	1433	7
995	1435	5
996	1436	4
997	1437	2
998	1439	1
999	1441	0
